STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,EMXP,Missing,Consecutive Missing,TPCP,Missing,Consecutive Missing,TSNW,Missing,Consecutive Missing,EMXT,Missing,Consecutive Missing,EMNT,Missing,Consecutive Missing,MMXT,Missing,Consecutive Missing,MMNT,Missing,Consecutive Missing,MNTM,Missing,Consecutive Missing
GHCND:CA006157012,RICHMOND HILL CA,240,43.8833,-79.45,20000101,88,0,0,332,0,0,184,0,0,110,0,0,-240,0,0,-18,0,0,-109,0,0,-64,0,0
GHCND:CA006157012,RICHMOND HILL CA,240,43.8833,-79.45,20000201,94,0,0,528,0,0,428,0,0,145,0,0,-195,0,0,12,0,0,-75,0,0,-31,0,0
GHCND:CA006157012,RICHMOND HILL CA,240,43.8833,-79.45,20000301,76,0,0,368,0,0,128,0,0,230,0,0,-85,0,0,90,0,0,-11,0,0,40,0,0
GHCND:CA006157012,RICHMOND HILL CA,240,43.8833,-79.45,20000401,394,0,0,940,0,0,158,0,0,240,0,0,-60,0,0,112,0,0,16,0,0,64,0,0
GHCND:CA006157012,RICHMOND HILL CA,240,43.8833,-79.45,20000501,636,0,0,1534,0,0,0,0,0,300,0,0,10,0,0,194,0,0,89,0,0,142,0,0
GHCND:CA006157012,RICHMOND HILL CA,240,43.8833,-79.45,20000601,434,0,0,1621,0,0,0,0,0,315,0,0,70,0,0,232,0,0,126,0,0,179,0,0
GHCND:CA006157012,RICHMOND HILL CA,240,43.8833,-79.45,20000701,304,0,0,1020,0,0,0,0,0,280,0,0,90,0,0,244,0,0,148,0,0,196,0,0
GHCND:CA006157012,RICHMOND HILL CA,240,43.8833,-79.45,20000801,512,0,0,1200,0,0,0,0,0,295,0,0,70,0,0,248,0,0,147,0,0,198,0,0
GHCND:CA006157012,RICHMOND HILL CA,240,43.8833,-79.45,20000901,280,0,0,800,0,0,0,0,0,300,0,0,0,0,0,201,0,0,99,0,0,150,0,0
GHCND:CA006157012,RICHMOND HILL CA,240,43.8833,-79.45,20001001,50,0,0,200,0,0,0,0,0,230,0,0,-15,0,0,155,0,0,56,0,0,106,0,0
GHCND:CA006157012,RICHMOND HILL CA,240,43.8833,-79.45,20001101,212,0,0,586,0,0,78,0,0,205,0,0,-140,0,0,65,0,0,-5,0,0,30,0,0
GHCND:CA006157012,RICHMOND HILL CA,240,43.8833,-79.45,20001201,282,0,0,974,0,0,860,0,0,50,0,0,-200,0,0,-36,0,0,-115,0,0,-75,0,0
GHCND:CA006157012,RICHMOND HILL CA,240,43.8833,-79.45,20010101,98,0,0,414,0,0,280,0,0,55,0,0,-215,0,0,-9,0,0,-80,0,0,-45,0,0
GHCND:CA006157012,RICHMOND HILL CA,240,43.8833,-79.45,20010201,292,0,0,792,0,0,470,0,0,130,0,0,-170,0,0,-5,0,0,-82,0,0,-43,0,0
GHCND:CA006157012,RICHMOND HILL CA,240,43.8833,-79.45,20010301,202,0,0,484,0,0,370,0,0,95,0,0,-135,0,0,28,0,0,-47,0,0,-10,0,0
