STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,EMXP,MXSD,TPCP,TSNW,EMXT,EMNT,MMXT,MMNT,MNTM
GHCND:CA006158350,TORONTO CA,113,43.6667,-79.4,18400301,-9999,-9999,-9999,-9999,150,-128,52,-29,12
GHCND:CA006158350,TORONTO CA,113,43.6667,-79.4,18400401,-9999,-9999,-9999,-9999,206,-39,111,23,67
GHCND:CA006158350,TORONTO CA,113,43.6667,-79.4,18400501,445,-9999,1058,0,244,-6,172,76,124
GHCND:CA006158350,TORONTO CA,113,43.6667,-79.4,18400601,389,-9999,1236,0,267,28,206,108,157
GHCND:CA006158350,TORONTO CA,113,43.6667,-79.4,18400701,480,-9999,1344,0,278,83,245,145,195
GHCND:CA006158350,TORONTO CA,113,43.6667,-79.4,18400801,229,-9999,739,0,278,89,238,141,189
GHCND:CA006158350,TORONTO CA,113,43.6667,-79.4,18400901,318,-9999,351,0,233,-11,179,72,125
GHCND:CA006158350,TORONTO CA,113,43.6667,-79.4,18401001,89,-9999,479,0,228,-50,125,22,74
GHCND:CA006158350,TORONTO CA,113,43.6667,-79.4,18401101,-9999,-9999,-9999,-9999,139,-94,56,-15,21
GHCND:CA006158350,TORONTO CA,113,43.6667,-79.4,18401201,-9999,-9999,-9999,-9999,56,-228,-10,-88,-49
GHCND:CA006158350,TORONTO CA,113,43.6667,-79.4,18410101,-9999,-9999,-9999,-9999,56,-211,-6,-83,-44
GHCND:CA006158350,TORONTO CA,113,43.6667,-79.4,18410201,-9999,-9999,-9999,-9999,67,-183,-12,-97,-55
GHCND:CA006158350,TORONTO CA,113,43.6667,-79.4,18410301,-9999,-9999,-9999,-9999,128,-167,22,-67,-23
GHCND:CA006158350,TORONTO CA,113,43.6667,-79.4,18410401,-9999,-9999,-9999,-9999,183,-67,88,-2,43
GHCND:CA006158350,TORONTO CA,113,43.6667,-79.4,18410501,315,-9999,593,0,256,-28,166,52,109
