STATION,STATION_NAME,DATE,EMXP,MXSD,TPCP,TSNW,EMXT,EMNT,MMXT,MMNT,MNTM
GHCND:CA006157012,RICHMOND HILL CA,19590601,109,-9999,200,0,328,56,250,136,193
GHCND:CA006157012,RICHMOND HILL CA,19590701,119,-9999,415,0,317,106,277,147,212
GHCND:CA006157012,RICHMOND HILL CA,19590801,198,-9999,808,0,339,72,282,176,229
GHCND:CA006157012,RICHMOND HILL CA,19590901,269,-9999,930,0,339,-6,227,123,175
GHCND:CA006157012,RICHMOND HILL CA,19591001,244,-9999,678,0,256,-28,122,51,87
GHCND:CA006157012,RICHMOND HILL CA,19591101,178,-9999,739,147,189,-117,47,-23,12
GHCND:CA006157012,RICHMOND HILL CA,19591201,305,-9999,874,190,72,-167,2,-52,-25
GHCND:CA006157012,RICHMOND HILL CA,19600101,191,-9999,737,414,22,-200,-27,-88,-58
GHCND:CA006157012,RICHMOND HILL CA,19600201,203,-9999,629,395,50,-178,-17,-83,-50
GHCND:CA006157012,RICHMOND HILL CA,19600301,89,-9999,330,269,94,-172,-22,-104,-63
GHCND:CA006157012,RICHMOND HILL CA,19600401,236,-9999,725,42,278,-67,116,21,69
GHCND:CA006157012,RICHMOND HILL CA,19600501,368,-9999,1303,0,239,-22,173,84,128
GHCND:CA006157012,RICHMOND HILL CA,19600601,137,-9999,652,0,283,50,230,115,173
GHCND:CA006157012,RICHMOND HILL CA,19600701,312,-9999,579,0,306,83,252,137,194
GHCND:CA006157012,RICHMOND HILL CA,19600801,401,-9999,838,0,306,78,251,134,192
GHCND:CA006157012,RICHMOND HILL CA,19600901,38,-9999,92,0,322,33,221,114,168
GHCND:CA006157012,RICHMOND HILL CA,19601001,160,-9999,637,8,244,-33,145,40,92
GHCND:CA006157012,RICHMOND HILL CA,19601101,241,-9999,574,16,150,-61,85,7,46
GHCND:CA006157012,RICHMOND HILL CA,19601201,51,-9999,162,157,122,-228,-26,-101,-63
GHCND:CA006157012,RICHMOND HILL CA,19610101,30,-9999,81,81,50,-244,-51,-130,-91
GHCND:CA006157012,RICHMOND HILL CA,19610201,168,-9999,659,148,106,-250,4,-76,-36
GHCND:CA006157012,RICHMOND HILL CA,19610301,127,-9999,609,496,161,-172,29,-43,-7
GHCND:CA006157012,RICHMOND HILL CA,19610401,254,-9999,1039,303,178,-39,76,5,40
GHCND:CA006157012,RICHMOND HILL CA,19610501,188,-9999,514,3,267,-22,165,55,110
GHCND:CA006157012,RICHMOND HILL CA,19610601,224,-9999,821,0,311,67,227,116,171
GHCND:CA006157012,RICHMOND HILL CA,19610701,130,-9999,624,0,311,72,256,150,203
GHCND:CA006157012,RICHMOND HILL CA,19610801,99,-9999,418,0,328,83,252,146,199
GHCND:CA006157012,RICHMOND HILL CA,19610901,127,-9999,393,0,311,22,242,135,188
GHCND:CA006157012,RICHMOND HILL CA,19611001,41,-9999,114,0,244,-17,169,59,114
GHCND:CA006157012,RICHMOND HILL CA,19611101,241,-9999,535,29,233,-72,68,-12,28
GHCND:CA006157012,RICHMOND HILL CA,19611201,165,-9999,420,163,122,-172,-2,-66,-34
GHCND:CA006157012,RICHMOND HILL CA,19620101,163,-9999,634,291,33,-239,-44,-122,-83
GHCND:CA006157012,RICHMOND HILL CA,19620201,152,-9999,681,553,67,-244,-38,-126,-82
GHCND:CA006157012,RICHMOND HILL CA,19620301,119,-9999,155,89,206,-211,29,-45,-8
GHCND:CA006157012,RICHMOND HILL CA,19620401,69,-9999,316,51,289,-67,119,10,65
